..\rawdata\ajf_ToolbarResearch_C201605201535.txt
..\rawdata\mnr_ToolbarResearch_C201605212227.txt
total runtime,121.39500
hover totals
Add Relationship
,0.04000
,0.25000
total,0.29000
Align Right
,0.03000
,0.37000
total,0.40000
Add Image
,0.10000
,1.73300
,0.03000
total,1.86300
Add Boundary
,1.60500
,1.60000
,2.23200
,0.06300
,0.04000
,0.08400
total,5.62400
Add Link
,0.07200
,1.02900
,0.02000
total,1.12100
Align Bottom
,0.02300
,0.19000
,0.77100
total,0.98400
Align Left
,0.05100
,8.93000
total,8.98100
Add Element
,3.13100
,0.07000
,0.30400
,0.17000
,0.12100
,0.03000
total,3.82600
Align Top
,0.06000
,0.00000
total,0.06000
Add Note
,2.42800
,0.02100
total,2.44900
grandtotal,25.59800
tooltip totals
Add Image
,0.71900
total,0.71900
Add Boundary
,0.59700
,0.59800
,0.67100
total,1.86600
Add Link
,0.02000
total,0.02000
Align Left
,0.52000
total,0.52000
Add Element
,0.77100
total,0.77100
Add Note
,0.97000
total,0.97000
grandtotal,4.86600
..\rawdata\pgm_ToolbarResearch_C201605211448.txt
total runtime,150.69600
hover totals
Add Line
,0.01600
,0.03100
,0.06200
,3.21400
total,3.32300
Align Top
,0.88900
,0.03100
,0.12500
,0.09300
,0.04700
,1.56000
,0.01600
,0.01600
,0.01500
total,2.79200
Align Right
,0.03100
,0.46800
,0.15600
,0.12500
,1.93400
,0.03100
,0.00000
,0.00000
,0.14100
,2.18400
total,5.07000
Add Image
,0.04700
,0.03200
,0.10900
,0.07800
,0.04600
,0.04700
,0.10900
,4.74200
,0.01600
,0.03100
,0.40500
,0.82600
,0.01500
total,6.50300
Add Boundary
,1.62300
,0.01600
,0.01600
,4.02500
,0.03100
,0.01500
,0.17200
,0.01500
,4.21200
,0.03100
total,10.15600
Add Link
,0.00000
,0.09400
,0.14000
,0.15600
,0.17200
,0.06300
,2.18400
,0.06300
,0.04600
,0.03100
,0.00000
,0.01600
total,2.96500
Align Bottom
,0.14000
,0.20300
,0.68700
,0.18700
,2.20000
,0.01600
,2.71400
total,6.14700
Align Left
,0.10900
,0.03100
,0.14000
,0.07800
,0.26500
,1.87200
,0.01500
,0.01600
,0.01600
,0.14000
,5.74100
total,8.42300
Add Element
,0.95100
,0.14000
,0.09300
,0.15600
,0.29700
,0.00000
,0.01600
,0.04700
,9.01700
,0.07800
,0.01600
,7.97200
,0.01600
,2.43400
,0.06300
,0.01600
,0.00000
total,21.31200
Add Relationship
,0.01500
,0.03100
,0.00000
,0.01600
,1.93400
total,1.99600
Add Note
,0.15600
,0.49900
,0.14100
,0.45200
,0.10900
,2.12200
,0.01600
,0.03100
,6.13100
,0.06300
,0.00000
,0.01600
total,9.73600
grandtotal,78.42300
tooltip totals
Add Line
,2.20000
total,2.20000
Align Top
,0.54600
total,0.54600
Align Right
,0.92000
,1.17000
total,2.09000
Add Image
,3.72800
total,3.72800
Add Boundary
,0.60900
,3.01100
,0.63900
total,4.25900
Add Link
,1.17000
total,1.17000
Align Bottom
,1.18600
,1.70000
total,2.88600
Align Left
,0.85800
,2.21500
total,3.07300
Add Element
,1.56000
,1.40400
total,2.96400
Add Relationship
,0.92000
total,0.92000
Add Note
,1.10800
,1.59100
total,2.69900
grandtotal,26.53500
..\rawdata\poe_ToolbarResearch_C201605201434.txt
total runtime,88.35800
hover totals
Add Line
,0.17200
,0.01600
,0.04700
total,0.23500
Align Top
,0.10900
,0.87400
total,0.98300
Add Image
,1.62300
,0.06200
,0.04700
,0.51500
,1.52900
total,3.77600
Add Boundary
,3.71300
,2.23100
,3.47900
,0.07800
,0.01600
,1.74700
,0.01600
total,11.28000
Add Element
,0.24900
,0.23400
,0.03100
,0.32700
,1.49800
,3.43200
,4.38400
,0.14000
,0.01600
total,10.31100
Align Bottom
,0.20200
total,0.20200
Align Left
,0.07800
,3.90000
total,3.97800
Add Link
,1.74700
,0.03100
,0.53000
total,2.30800
Add Relationship
,0.03100
,0.29600
,0.01500
,0.06300
,0.01500
total,0.42000
Add Note
,1.04500
,0.03100
,2.27800
total,3.35400
grandtotal,36.84700
tooltip totals
Add Image
,0.60900
,0.51500
total,1.12400
Add Boundary
,2.69900
,1.21700
,2.46500
total,6.38100
Add Element
,0.48400
,3.37000
total,3.85400
Align Left
,0.82700
total,0.82700
Add Link
,0.73300
total,0.73300
Add Note
,0.03100
,0.71800
total,0.74900
grandtotal,13.66800
..\rawdata\sso_ToolbarResearch_E201605220815.txt
total runtime,78.32400
tooltip totals
Add Line
,0.18400
,0.74400
total,0.92800
Align Top
,0.12800
,0.29900
,0.10400
,0.57500
total,1.10600
Add Note
,0.00800
,0.64800
,0.02400
,1.39700
,3.41500
,0.79100
total,6.28300
Align Right
,0.30400
,0.10400
total,0.40800
Add Image
,1.57100
,0.21600
,1.54300
,0.20800
,1.53600
,0.68400
,0.42800
,0.03200
,0.62700
total,6.84500
Add Boundary
,0.00800
,2.35500
,0.02400
,3.13200
,0.22400
,0.20800
,1.53300
,0.17600
total,7.66000
Add Element
,1.85100
,2.94800
,0.68700
,0.10400
,0.02400
,0.07200
,0.96000
,0.96800
,0.14800
,0.46700
total,8.22900
Align Bottom
,0.33600
total,0.33600
Align Left
,0.30800
,0.04800
,3.03900
total,3.39500
Add Link
,1.54300
,0.38900
,0.12000
,0.27200
,0.05600
,0.56000
,0.00800
,0.63900
total,3.58700
Add Relationship
,0.02300
,0.32700
,0.29100
,1.36400
,0.05600
total,2.06100
grandtotal,40.83800
..\rawdata\zpd_ToolbarResearch_E201605201518.txt
total runtime,45.89500
tooltip totals
Align Top
,0.01600
,0.03200
,0.04600
total,0.09400
Add Image
,0.18700
total,0.18700
Add Boundary
,0.32700
,0.73400
,0.53000
,0.46800
total,2.05900
Add Link
,0.43700
,0.09300
,0.01600
total,0.54600
Align Bottom
,0.01500
total,0.01500
Align Left
,0.43700
total,0.43700
Add Element
,0.21900
,0.26500
,0.57700
,0.35900
,0.06300
,0.04700
total,1.53000
Add Note
,0.85800
,0.03200
,0.03100
total,0.92100
grandtotal,5.78900
..\rawdata\the_ToolbarResearch_C201605221408.txt
total runtime,83.24100
hover totals
Align Right
,0.20200
total,0.20200
Add Note
,2.07500
total,2.07500
Add Image
,0.34300
,0.01600
,1.71600
total,2.07500
Add Boundary
,0.12500
,1.70100
,0.03100
,1.31000
,2.51100
,0.14000
,0.18700
,1.59100
total,7.59600
Add Element
,0.04700
,0.01500
,0.20300
,0.29700
,2.15300
,1.59100
,1.82600
,0.03200
,0.07800
,0.23400
total,6.47600
Align Left
,0.04700
,2.06000
total,2.10700
Add Link
,0.46800
,1.63800
total,2.10600
Add Relationship
